system   D            wsystem.c:583  maybe_parent_dir                 [   0.00095] Also searching C:\Users\Drutol\Desktop\Shooter\
display  D   display_settings.c:191  debug_display_settings           [   0.12311] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.12316] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.12319] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.12324] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.12327] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.12332] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.12335] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.12339] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.12343] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.12347] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.12351] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.12362] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.12367] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.12371] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.12375] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.12379] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.12383] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.12387] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.12390] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.12395] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.12398] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.12403] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.12406] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.12410] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.12414] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.12418] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.12422] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.12426] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.12430] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.12434] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.12438] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.12442] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.12445] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.12453] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.12463] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.12470] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.12474] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.12478] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.12482] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.12486] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.12490] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.12494] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.12498] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.12503] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.12507] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.12511] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.12515] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.12519] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.12523] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.12527] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.12531] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.12535] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.12539] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.12543] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.12547] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.12551] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.12555] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.12559] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.12562] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.12567] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.12570] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.12574] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.12578] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.12582] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.12586] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.12590] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.12594] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.12598] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.12602] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.12606] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.12610] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.12614] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.12618] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.12622] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.12626] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.12630] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.12634] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.12638] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.12642] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.12646] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.12650] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.12659] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.12667] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.12671] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.12675] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.12679] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.12683] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.12687] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.12690] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.12695] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.12698] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.12702] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.12706] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.12710] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.12714] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.12718] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.12722] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.12726] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.12730] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.12734] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.12737] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.12742] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.12745] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.12749] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.12753] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.12763] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.12767] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.12771] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.12775] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.12779] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.12783] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.12787] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.12791] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.12795] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.12798] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.12802] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.12806] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.12810] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.12814] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.12824] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.12834] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.12839] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.12849] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.12855] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.12862] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.12868] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.12874] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.12880] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.12886] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.12892] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.12897] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.12905] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.12915] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.12924] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.12929] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.12936] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.12944] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.12950] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.12961] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.12968] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.12973] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.12979] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.12985] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.12997] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.13001] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.13005] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.13009] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.13013] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.13017] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.13022] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.13025] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.13031] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.13035] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.13046] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.13050] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.13054] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.13058] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.13062] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.13079] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.13086] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.13091] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.13098] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.13104] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.13110] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.13119] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.13131] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.13139] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.13145] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.13152] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.13163] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.13170] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.13177] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.13185] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.13190] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.13196] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.13204] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.13210] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.13216] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.13222] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.13231] Single Buffer requirement not met.
d3d      D         d3d_disp.cpp:1645 d3d_create_display_internals     [   0.13245] Trying format 0.
d3d      I         d3d_disp.cpp:1326 d3d_display_thread_proc          [   0.13354] Chose a display format: 23
d3d      I         d3d_disp.cpp:1395 d3d_display_thread_proc          [   0.13365] Normal window.
d3d      I         d3d_disp.cpp:801  d3d_create_device                [   0.15334] Using no depth stencil buffer
d3d      D         d3d_disp.cpp:866  d3d_create_device                [   0.33391] BeginScene succeeded in create_device
d3d      D         d3d_disp.cpp:874  d3d_create_device                [   0.33400] Success
d3d      D         d3d_disp.cpp:1668 d3d_create_display_internals     [   0.33406] Resumed after wait.
d3d      I         d3d_disp.cpp:1701 d3d_create_display_internals     [   0.33414] Format 0 succeeded.
d3d      D         d3d_disp.cpp:1724 d3d_create_display_internals     [   0.33420] Returning d3d_display: 001FBDD0
d3d      D         d3d_disp.cpp:1749 d3d_create_display_locked        [   0.33427] al_display=001FBDD0
d3d      D         d3d_disp.cpp:1750 d3d_create_display_locked        [   0.33431] al_display->vt=001FBD08
dtor     D               dtor.c:184  _al_register_destructor          [   0.33539] added dtor for object 0021DA60, func 558827A7
dtor     D               dtor.c:184  _al_register_destructor          [   0.33547] added dtor for object 0021DD50, func 558824D2
dtor     D               dtor.c:184  _al_register_destructor          [   0.33555] added dtor for object 0021DF10, func 558827A7
font     D                ttf.c:792  al_load_ttf_font_stretch_f       [   0.33742] Font Resources/leadcoat.ttf loaded with pixel size 0 x 40.
font     D                ttf.c:794  al_load_ttf_font_stretch_f       [   0.33747]     ascent=36.0, descent=-6.0, height=41.0
dtor     D               dtor.c:184  _al_register_destructor          [   0.33753] added dtor for object 00226958, func 55881B3B
font     D                ttf.c:792  al_load_ttf_font_stretch_f       [   0.33809] Font Resources/leadcoat.ttf loaded with pixel size 0 x 41.
font     D                ttf.c:794  al_load_ttf_font_stretch_f       [   0.33813]     ascent=37.0, descent=-6.0, height=42.0
dtor     D               dtor.c:184  _al_register_destructor          [   0.33821] added dtor for object 002257F0, func 55881B3B
font     D                ttf.c:792  al_load_ttf_font_stretch_f       [   0.33894] Font Resources/leadcoat.ttf loaded with pixel size 0 x 42.
font     D                ttf.c:794  al_load_ttf_font_stretch_f       [   0.33899]     ascent=38.0, descent=-6.0, height=43.0
dtor     D               dtor.c:184  _al_register_destructor          [   0.33905] added dtor for object 0022C278, func 55881B3B
font     D                ttf.c:792  al_load_ttf_font_stretch_f       [   0.33977] Font Resources/leadcoat.ttf loaded with pixel size 0 x 43.
font     D                ttf.c:794  al_load_ttf_font_stretch_f       [   0.33982]     ascent=39.0, descent=-7.0, height=44.0
dtor     D               dtor.c:184  _al_register_destructor          [   0.33988] added dtor for object 0022EEE8, func 55881B3B
font     D                ttf.c:792  al_load_ttf_font_stretch_f       [   0.34053] Font Resources/leadcoat.ttf loaded with pixel size 0 x 44.
font     D                ttf.c:794  al_load_ttf_font_stretch_f       [   0.34058]     ascent=40.0, descent=-7.0, height=45.0
dtor     D               dtor.c:184  _al_register_destructor          [   0.34063] added dtor for object 002323D8, func 55881B3B
font     D                ttf.c:792  al_load_ttf_font_stretch_f       [   0.34123] Font Resources/leadcoat.ttf loaded with pixel size 0 x 45.
font     D                ttf.c:794  al_load_ttf_font_stretch_f       [   0.34128]     ascent=40.0, descent=-7.0, height=46.0
dtor     D               dtor.c:184  _al_register_destructor          [   0.34134] added dtor for object 002305A0, func 55881B3B
font     D                ttf.c:792  al_load_ttf_font_stretch_f       [   0.34207] Font Resources/leadcoat.ttf loaded with pixel size 0 x 46.
font     D                ttf.c:794  al_load_ttf_font_stretch_f       [   0.34212]     ascent=41.0, descent=-7.0, height=47.0
dtor     D               dtor.c:184  _al_register_destructor          [   0.34217] added dtor for object 00237A78, func 55881B3B
font     D                ttf.c:792  al_load_ttf_font_stretch_f       [   0.34280] Font Resources/leadcoat.ttf loaded with pixel size 0 x 47.
font     D                ttf.c:794  al_load_ttf_font_stretch_f       [   0.34285]     ascent=42.0, descent=-7.0, height=48.0
dtor     D               dtor.c:184  _al_register_destructor          [   0.34290] added dtor for object 0023A690, func 55881B3B
font     D                ttf.c:792  al_load_ttf_font_stretch_f       [   0.34360] Font Resources/leadcoat.ttf loaded with pixel size 0 x 48.
font     D                ttf.c:794  al_load_ttf_font_stretch_f       [   0.34364]     ascent=43.0, descent=-7.0, height=49.0
dtor     D               dtor.c:184  _al_register_destructor          [   0.34370] added dtor for object 0023D2B0, func 55881B3B
font     D                ttf.c:792  al_load_ttf_font_stretch_f       [   0.34442] Font Resources/leadcoat.ttf loaded with pixel size 0 x 49.
font     D                ttf.c:794  al_load_ttf_font_stretch_f       [   0.34446]     ascent=44.0, descent=-7.0, height=50.0
dtor     D               dtor.c:184  _al_register_destructor          [   0.34452] added dtor for object 0023FED0, func 55881B3B
font     D                ttf.c:792  al_load_ttf_font_stretch_f       [   0.34524] Font Resources/leadcoat.ttf loaded with pixel size 0 x 50.
font     D                ttf.c:794  al_load_ttf_font_stretch_f       [   0.34528]     ascent=45.0, descent=-7.0, height=51.0
dtor     D               dtor.c:184  _al_register_destructor          [   0.34534] added dtor for object 00242AF8, func 55881B3B
font     D                ttf.c:792  al_load_ttf_font_stretch_f       [   0.34611] Font Resources/leadcoat.ttf loaded with pixel size 0 x 51.
font     D                ttf.c:794  al_load_ttf_font_stretch_f       [   0.34615]     ascent=46.0, descent=-8.0, height=52.0
dtor     D               dtor.c:184  _al_register_destructor          [   0.34621] added dtor for object 00245B28, func 55881B3B
font     D                ttf.c:792  al_load_ttf_font_stretch_f       [   0.34702] Font Resources/leadcoat.ttf loaded with pixel size 0 x 52.
font     D                ttf.c:794  al_load_ttf_font_stretch_f       [   0.34715]     ascent=47.0, descent=-8.0, height=54.0
dtor     D               dtor.c:184  _al_register_destructor          [   0.34723] added dtor for object 00248818, func 55881B3B
